uniprot_id,protein_info,accession_number,molecular_weight,Pool_1.mzML,Pool_2.mzML,Pool_3.mzML,Sample_01_0325.mzML,Sample_02_0147.mzML,Sample_03_4085.mzML,Sample_04_0039.mzML,Sample_05_5198.mzML,Sample_06_7066.mzML,Sample_07_0909.mzML,Sample_08_0348.mzML,Sample_09_7028.mzML,Sample_10_2119.mzML,Sample_11_6501.mzML,Sample_12_9999.mzML,Sample_13_1014.mzML,Sample_14_1059.mzML
P11509,sp|P11509|CP2A6_HUMAN Cytochrome P450 2A6 OS=Homo sapiens OX=9606 GN=CYP2A6 PE=1 SV=4,sp|P11509|CP2A6_HUMAN,57 kDa,36425310,39902080,37950040,7526583,5665723,5126959,4568171,18763110,3436713,759299400,10160400,15652950,6667143,7861984,5118775,4031426,7088269
P11532,sp|P11532|DMD_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=3,sp|P11532|DMD_HUMAN,427 kDa,15045090,10890060,11838050,4287664,1799164,2273049,2316915,19753290,9934001,44864830,4781293,3519563,10102630,2166210,6608272,24908140,12831580
P11586,"sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=3",sp|P11586|C1TC_HUMAN,102 kDa,1140265000,1131302000,1111645000,739315400,530286000,1574068000,741578700,1026555000,1163173000,4912119000,1140653000,1226232000,610895400,553133900,298534600,625792800,1132589000
P11678,sp|P11678|PERE_HUMAN Eosinophil peroxidase OS=Homo sapiens OX=9606 GN=EPX PE=1 SV=2,sp|P11678|PERE_HUMAN,81 kDa,348701500,374584000,327185700,32968760,1044642000,117007200,52220000,1101188000,38458000,86170670,31222020,22370500,20304930,29867230,1168531000,36297080,302207100
P11712,sp|P11712|CP2C9_HUMAN Cytochrome P450 2C9 OS=Homo sapiens OX=9606 GN=CYP2C9 PE=1 SV=3,sp|P11712|CP2C9_HUMAN,56 kDa,69881200,82685240,91933000,5733408,4806347,5683555,8889939,8747780,3509931,1302171000,5625587,6450490,2166493,4953476,2181864,8476758,9371712
P11717,sp|P11717|MPRI_HUMAN Cation-independent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=IGF2R PE=1 SV=3,sp|P11717|MPRI_HUMAN,274 kDa,46820590,51878940,54036410,88729130,44695350,28345560,52910430,56019550,22945460,25914070,111641500,36250440,16282390,94763830,26744510,35742230,130569800
P11766,sp|P11766|ADHX_HUMAN Alcohol dehydroge0se class-3 OS=Homo sapiens OX=9606 GN=ADH5 PE=1 SV=4,sp|P11766|ADHX_HUMAN,40 kDa,129386500,116903900,1184383000,2274595000,1073792000,1048621000,83264840,135607000,916510000,868573400,118234300,140939800,510763100,895255900,83284960,1458867000,848831600
P11802,sp|P11802|CDK4_HUMAN Cyclin-dependent ki0se 4 OS=Homo sapiens OX=9606 GN=CDK4 PE=1 SV=2,sp|P11802|CDK4_HUMAN,34 kDa,137782,125331,103568,298515,166013,360232,887125,102635,788938,184603,753930,417159,1718715,137902,95284,124838,225201
P11908,sp|P11908|PRPS2_HUMAN Ribose-phosphate pyrophosphoki0se 2 OS=Homo sapiens OX=9606 GN=PRPS2 PE=1 SV=2,sp|P11908|PRPS2_HUMAN,35 kDa,77092560,82114820,85630150,79347160,84879060,105096700,55872750,101602300,85663070,64625200,123476700,79808130,84394910,89783600,40960720,71887790,98055780
P11940,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2,sp|P11940|PABP1_HUMAN,71 kDa,332345800,322894700,293071300,275810600,306066600,247554100,314720300,387335300,307580600,201736600,442603800,366140900,334054300,324587300,177884600,334501300,511235500
P12004,sp|P12004|PC0_HUMAN Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PC0 PE=1 SV=1,sp|P12004|PC0_HUMAN,29 kDa,260078700,250002000,264133500,259935400,137835600,158965400,301462800,308915400,311788600,100492200,361248500,383078900,170324600,115135400,85743710,159783300,569248000
P12081,"sp|P12081|HARS1_HUMAN Histidine--tR0 ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS1 PE=1 SV=2",sp|P12081|HARS1_HUMAN,57 kDa,195231700,192740600,194826500,165405100,244336900,259355000,180038100,287206200,217058800,106667300,228221500,159123200,189735900,176716200,109905500,152765700,285680800
P12109,sp|P12109|CO6A1_HUMAN Collagen alpha-1(VI) chain OS=Homo sapiens OX=9606 GN=COL6A1 PE=1 SV=3,sp|P12109|CO6A1_HUMAN,109 kDa,6542295000,6714696000,6729280000,13244050000,11043140000,2878951000,10669660000,7372742000,6998655000,3471650000,1139930000,4898988000,5572938000,6234597000,7267409000,7680952000,5947506000
P12110,sp|P12110|CO6A2_HUMAN Collagen alpha-2(VI) chain OS=Homo sapiens OX=9606 GN=COL6A2 PE=1 SV=4,sp|P12110|CO6A2_HUMAN,109 kDa,8569148000,8899637000,8962453000,16972870000,11249000000,2989466000,15175260000,8246656000,9385057000,3226501000,1117902000,5342941000,7076356000,6465416000,8006424000,8779524000,6042672000
P12111,sp|P12111|CO6A3_HUMAN Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5,sp|P12111|CO6A3_HUMAN,344 kDa,12715260000,12420940000,12334910000,25140310000,19099130000,5201189000,22883670000,12083090000,11697380000,5794357000,2053579000,8597476000,11317410000,11133530000,14948600000,14932330000,10875030000
P12235,sp|P12235|ADT1_HUMAN ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=4,sp|P12235|ADT1_HUMAN,33 kDa,47108160,49887350,51232510,27135150,11465460,30806520,55615010,47596930,42109920,52509020,316717000,40654930,58249300,34406130,13109140,25875970,85557130
P12236,sp|P12236|ADT3_HUMAN ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4,sp|P12236|ADT3_HUMAN,33 kDa,11957750,14428310,15516180,12473720,19293520,8769071,6820250,16807640,14388680,4007679,75897850,20047740,13577990,12105590,1482614,8788223,28995360
P12268,sp|P12268|IMDH2_HUMAN Inosine-5'-monophosphate dehydroge0se 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2,sp|P12268|IMDH2_HUMAN,56 kDa,129368300,112886700,126410100,70731160,93390780,272423500,120271300,95087030,189937300,56833300,81337030,129831000,162733600,62277830,28729130,68722370,228886500
P12270,sp|P12270|TPR_HUMAN Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,sp|P12270|TPR_HUMAN,267 kDa,337735600,350134000,337783100,372080400,207913000,287574100,300061300,302541800,580714600,179446800,938312000,524235300,365889300,280738100,170258100,278089900,283866700
P12277,sp|P12277|KCRB_HUMAN Creatine ki0se B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1,sp|P12277|KCRB_HUMAN,43 kDa,337760800,357664100,358041300,13756450,9556891,374337400,32756960,2497277000,204405000,44009320,777826100,8752507,100141500,42806320,349363700,99123520,270706700
P12314,sp|P12314|FCGR1_HUMAN High affinity immunoglobulin gamma Fc receptor I OS=Homo sapiens OX=9606 GN=FCGR1A PE=1 SV=2,sp|P12314|FCGR1_HUMAN,43 kDa,4152987,3501890,4154341,5052041,6949984,3101552,9408136,1716012,8450803,1605736,1086072,675930,38773,10695850,2264525,3846695,1842543
P12429,sp|P12429|ANXA3_HUMAN Annexin A3 OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=3,sp|P12429|ANXA3_HUMAN,36 kDa,268142500,293270900,277156000,63435850,976863400,52428140,437656400,855328100,425426200,56583440,74084140,89384260,34524050,96275280,15734940,221714800,330240500
P12532,"sp|P12532|KCRU_HUMAN Creatine ki0se U-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT1A PE=1 SV=1",sp|P12532|KCRU_HUMAN,47 kDa,72686300,64159710,66947240,6107351,8318744,48044370,5912069,144140700,5055387,9752473,583747300,5205668,6003094,18454640,8526473,11484720,277420800
P12724,sp|P12724|ECP_HUMAN Eosinophil cationic protein OS=Homo sapiens OX=9606 GN=R0SE3 PE=1 SV=2,sp|P12724|ECP_HUMAN,18 kDa,132940800,127913200,125721600,19188670,556693300,44354860,241781400,447293700,18542570,38977900,4132659,9732630,16648730,18291350,281993600,17131960,98525230
P12814,sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,sp|P12814|ACTN1_HUMAN,103 kDa,1241616000,1283637000,1242241000,711257600,1303919000,429616000,630580900,1777214000,1068689000,846664800,2001802000,1256982000,421607600,972445900,767604600,1367316000,2588913000
P12830,sp|P12830|CADH1_HUMAN Cadherin-1 OS=Homo sapiens OX=9606 GN=CDH1 PE=1 SV=3,sp|P12830|CADH1_HUMAN,97 kDa,82295250,88782240,75732610,19656070,10582480,9313090,69224990,244847100,170473900,109069300,268126000,144385000,113796100,3493924,7813440,21207570,44389350
P12882,sp|P12882|MYH1_HUMAN Myosin-1 OS=Homo sapiens OX=9606 GN=MYH1 PE=1 SV=3,sp|P12882|MYH1_HUMAN,223 kDa,8169136,7761003,9583118,3642711,3884797,6771497,3603698,2937759,3911530,4048717,9974801,6290609,5005815,13169510,90524200,1614166,3194884
P12955,sp|P12955|PEPD_HUMAN Xaa-Pro dipeptidase OS=Homo sapiens OX=9606 GN=PEPD PE=1 SV=3,sp|P12955|PEPD_HUMAN,55 kDa,429835900,434790400,422391600,249636700,136662300,986731100,348486400,299635300,504201700,188923100,139464800,677296900,764393500,254651200,233759700,223532400,642197600
P12956,sp|P12956|XRCC6_HUMAN X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2,sp|P12956|XRCC6_HUMAN,70 kDa,592266500,566762100,557266900,450734800,435231700,684034900,453524700,488283500,686394200,260671100,1069375000,728613700,1029826000,530612200,264452700,481493600,738955000
P13010,sp|P13010|XRCC5_HUMAN X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3,sp|P13010|XRCC5_HUMAN,83 kDa,573375400,535840300,556163000,466056900,429866100,765739200,455910200,467140900,600175600,272630000,1094566000,680077900,937119700,437007200,257146800,454820200,696264700
P13073,"sp|P13073|COX41_HUMAN Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens OX=9606 GN=COX4I1 PE=1 SV=1",sp|P13073|COX41_HUMAN,20 kDa,272177100,274665200,293404200,221216800,203928400,197799700,106757300,205883900,206757000,330044700,443664500,420323600,272963000,272456400,59060870,247001300,325050200
P13473,sp|P13473|LAMP2_HUMAN Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens OX=9606 GN=LAMP2 PE=1 SV=2,sp|P13473|LAMP2_HUMAN,45 kDa,435420000,430561400,401558900,261254500,228035100,523517500,404033800,356690800,485142400,260514900,1267940000,414185700,253646700,267154000,202962600,357429400,670030600
P13489,sp|P13489|RINI_HUMAN Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2,sp|P13489|RINI_HUMAN,50 kDa,854095000,871427600,876721300,954190800,949936400,836449200,482394200,1121369000,1119074000,673949900,591767300,648710300,482004500,751145100,394930300,972097900,1500445000
P13611,sp|P13611|CSPG2_HUMAN Versican core protein OS=Homo sapiens OX=9606 GN=VCAN PE=1 SV=3,sp|P13611|CSPG2_HUMAN,373 kDa,514069000,513077700,507936700,324826900,617444500,276571100,174324200,300303900,124401000,149268200,32085270,157564500,200605700,422799000,2499224000,1955419000,198624000
P13639,sp|P13639|EF2_HUMAN Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,sp|P13639|EF2_HUMAN,95 kDa,1900495000,1849014000,1714843000,1876287000,2078345000,2389066000,1703071000,1633466000,1890410000,1126680000,2429576000,2254822000,1532771000,2048427000,938204800,1473348000,2698579000
P13645,"sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",sp|P13645|K1C10_HUMAN,59 kDa,1483168000,1570170000,1576302000,576018000,487469300,592598300,543010200,804335900,391676900,473197200,1576108000,771528500,13547850000,325183000,234081300,846605300,609275700
P13647,"sp|P13647|K2C5_HUMAN Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",sp|P13647|K2C5_HUMAN,62 kDa,278829800,291971000,271281500,35476410,50094660,40903240,38734170,53174360,37327890,105238800,77271880,32091150,3542390000,31352420,22241750,44422600,38092180
P13667,sp|P13667|PDIA4_HUMAN Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2,sp|P13667|PDIA4_HUMAN,73 kDa,1212027000,1271331000,1230518000,1244701000,810643100,604054900,255676100,913237400,1191797000,2052412000,907103500,2394539000,147633400,3298933000,232462600,1728787000,1087457000
P13671,sp|P13671|CO6_HUMAN Complement component C6 OS=Homo sapiens OX=9606 GN=C6 PE=1 SV=3,sp|P13671|CO6_HUMAN,105 kDa,21165460,12580960,16114280,16970150,31845250,12254700,19711720,26378860,6294976,9944838,9737943,18346960,7262280,8376237,27587690,36643370,15342580
P13674,sp|P13674|P4HA1_HUMAN Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens OX=9606 GN=P4HA1 PE=1 SV=2,sp|P13674|P4HA1_HUMAN,61 kDa,106295300,114880300,120255500,44559480,185592500,152079900,83769730,55816340,81395370,67767180,151885600,250054700,44508920,87077820,46314360,144213300,86851620
P13686,sp|P13686|PPA5_HUMAN Tartrate-resistant acid phosphatase type 5 OS=Homo sapiens OX=9606 GN=ACP5 PE=1 SV=3,sp|P13686|PPA5_HUMAN,37 kDa,9225029,10697070,9837163,5642716,3020535,1690091,16906960,60517080,2798044,4613029,30118060,19054930,2573196,8217309,4939784,13593320,4377400
P13688,sp|P13688|CEAM1_HUMAN Carcinoembryonic antigen-related cell adhesion molecule 1 OS=Homo sapiens OX=9606 GN=CEACAM1 PE=1 SV=2,sp|P13688|CEAM1_HUMAN,58 kDa,107413600,90315620,103217000,63606100,107773400,28414800,51611630,406857900,99283850,44346530,668881000,22703760,37379190,44527000,14305040,42568130,260587500
P13693,sp|P13693|TCTP_HUMAN Translatio0lly-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1,sp|P13693|TCTP_HUMAN,20 kDa,99210080,92383170,95241150,100394500,63290730,49260650,93410780,65596220,93475110,44526510,89808340,133795100,139726900,87776250,35081360,119595800,119681700
P13716,sp|P13716|HEM2_HUMAN Delta-aminolevulinic acid dehydratase OS=Homo sapiens OX=9606 GN=ALAD PE=1 SV=1,sp|P13716|HEM2_HUMAN,36 kDa,56711190,55672010,54857720,24482380,13260500,88746090,26519560,38227090,59095700,272667100,29991050,26141600,31784810,34287980,39941750,56195560,55416850
P13727,sp|P13727|PRG2_HUMAN Bone marrow proteoglycan OS=Homo sapiens OX=9606 GN=PRG2 PE=1 SV=2,sp|P13727|PRG2_HUMAN,25 kDa,17587320,17977680,13268250,1875716,76460840,6226333,6323252,46110640,2690275,4383730,1751696,829539,1639841,2072402,51625350,27316450,12833200
P13796,sp|P13796|PLSL_HUMAN Plastin-2 OS=Homo sapiens OX=9606 GN=LCP1 PE=1 SV=6,sp|P13796|PLSL_HUMAN,70 kDa,3212694000,3174279000,3109899000,5789282000,3386825000,2189584000,4399034000,2228198000,3547925000,2579566000,215877600,773846300,1397971000,6997886000,2848690000,3269279000,2413729000
P13797,sp|P13797|PLST_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4,sp|P13797|PLST_HUMAN,71 kDa,551720700,563116100,559166900,787142400,745068500,667090000,374497700,381965000,836555700,473745100,273963500,800220500,496738600,479862800,566446100,872883200,154094800
P13798,sp|P13798|ACPH_HUMAN Acylamino-acid-releasing enzyme OS=Homo sapiens OX=9606 GN=APEH PE=1 SV=4,sp|P13798|ACPH_HUMAN,81 kDa,390931000,406323100,377945200,304566200,238875100,682720300,255236800,451908300,651415400,485626300,266046900,586015400,353687100,259504800,171107400,328436800,697944000
P13804,"sp|P13804|ETFA_HUMAN Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV=1",sp|P13804|ETFA_HUMAN,35 kDa,179581700,182852200,174771600,172322700,104543900,225215000,106049800,136176100,185605500,739355900,519795700,208611300,154329100,149586800,65422300,123911900,85230010
P13807,"sp|P13807|GYS1_HUMAN Glycogen [starch] synthase, muscle OS=Homo sapiens OX=9606 GN=GYS1 PE=1 SV=2",sp|P13807|GYS1_HUMAN,84 kDa,54793680,60160270,44820170,31407280,102775200,78492790,62945470,43279760,61747020,30446550,205573600,67261480,54432820,40485570,16615440,29681870,53563210
P13861,sp|P13861|KAP2_HUMAN cAMP-dependent protein ki0se type II-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR2A PE=1 SV=2,sp|P13861|KAP2_HUMAN,46 kDa,21344130,952438,14496990,14808410,19263140,26449250,14848520,25424980,40285410,19588420,31429530,21954840,21130910,23791980,13030420,12707400,33730760
P13987,sp|P13987|CD59_HUMAN CD59 glycoprotein OS=Homo sapiens OX=9606 GN=CD59 PE=1 SV=1,sp|P13987|CD59_HUMAN,14 kDa,3889167,3896373,4289279,7427382,7114490,1858937,1643047,3452086,34315440,3053872,7516756,6008514,2507836,5728085,2725252,5377558,8739140
P14136,sp|P14136|GFAP_HUMAN Glial fibrillary acidic protein OS=Homo sapiens OX=9606 GN=GFAP PE=1 SV=1,sp|P14136|GFAP_HUMAN,50 kDa,230009000,244541400,232865700,95707310,34672270,34679090,49471000,44468620,57096740,31763530,12640180000,72373660,28023020,65892170,19433280,47815240,52943670
P14174,sp|P14174|MIF_HUMAN Macrophage migration inhibitory factor OS=Homo sapiens OX=9606 GN=MIF PE=1 SV=4,sp|P14174|MIF_HUMAN,12 kDa,1878558000,1906548000,1970380000,1431553000,1189405000,1410085000,1134329000,1931834000,3864169000,1230869000,4427662000,4806474000,1204455000,1025685000,457804200,1361289000,3479725000
P14207,sp|P14207|FOLR2_HUMAN Folate receptor beta OS=Homo sapiens OX=9606 GN=FOLR2 PE=1 SV=4,sp|P14207|FOLR2_HUMAN,29 kDa,8239560,7264505,7156805,29280340,12552450,3162736,4250821,3317497,3843482,6720043,2209459,2150366,1741892,9743825,1174543,14677810,20271650
P14314,sp|P14314|GLU2B_HUMAN Glucosidase 2 subunit beta OS=Homo sapiens OX=9606 GN=PRKCSH PE=1 SV=2,sp|P14314|GLU2B_HUMAN,59 kDa,704690800,720826900,737439400,803725000,616440600,673185200,324761300,591212700,1187688000,785795300,746203200,1417838000,318473100,944787600,237150900,833565000,842491900
P14317,sp|P14317|HCLS1_HUMAN Hematopoietic lineage cell-specific protein OS=Homo sapiens OX=9606 GN=HCLS1 PE=1 SV=3,sp|P14317|HCLS1_HUMAN,54 kDa,1301006,1188987,1392148,4124671,569326,488120,1396974,2152698,830851,130518,918556,411036,1290732,1819190,1475720,1213640,1602988
P14324,sp|P14324|FPPS_HUMAN Farnesyl pyrophosphate synthase OS=Homo sapiens OX=9606 GN=FDPS PE=1 SV=4,sp|P14324|FPPS_HUMAN,48 kDa,36820660,39776850,33048240,40459270,25569060,35057140,30525850,45177630,47886430,81782720,243860400,76668230,20599340,29360630,23317090,37656090,23678610
P14543,sp|P14543|NID1_HUMAN Nidogen-1 OS=Homo sapiens OX=9606 GN=NID1 PE=1 SV=3,sp|P14543|NID1_HUMAN,136 kDa,423058100,432963000,427943800,976792600,173571400,112567100,410558200,602352800,360841700,174704400,897494000,193559600,415258500,114716900,404906800,829336400,777940500
P14550,sp|P14550|AK1A1_HUMAN Aldo-keto reductase family 1 member A1 OS=Homo sapiens OX=9606 GN=AKR1A1 PE=1 SV=3,sp|P14550|AK1A1_HUMAN,37 kDa,1487378000,1519060000,1475696000,1476419000,858282000,1251133000,930770300,1304260000,1294317000,4297746000,1515139000,981632800,714124700,2255035000,878326500,1509072000,2069628000
P14598,sp|P14598|NCF1_HUMAN Neutrophil cytosol factor 1 OS=Homo sapiens OX=9606 GN=NCF1 PE=1 SV=4,sp|P14598|NCF1_HUMAN,45 kDa,9339140,7627176,7386095,12207450,19678050,5949596,7286441,12309100,11916360,5012475,3854838,4070473,3160546,9896725,2438869,4119354,6126842
P14618,sp|P14618|KPYM_HUMAN Pyruvate ki0se PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,sp|P14618|KPYM_HUMAN,58 kDa,137033100,259671900,233706800,302742500,219925000,146578700,190705900,175781500,233535000,99167060,516437100,599438000,543352500,318022300,165701300,254955100,276707200
P14625,sp|P14625|ENPL_HUMAN Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,sp|P14625|ENPL_HUMAN,92 kDa,5447120000,5679843000,5909350000,6963947000,5081598000,4327776000,2671634000,3760139000,6138713000,4898579000,5641595000,8054176000,2674516000,12115450000,2801340000,7175799000,5976230000
P14649,sp|P14649|MYL6B_HUMAN Myosin light chain 6B OS=Homo sapiens OX=9606 GN=MYL6B PE=1 SV=1,sp|P14649|MYL6B_HUMAN,23 kDa,14053030,14828290,14492980,9397956,6517710,13802380,9681834,29381620,18972820,8079312,23259350,26976250,4588041,11795290,11870590,23676040,16418770
P14678,sp|P14678|RSMB_HUMAN Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens OX=9606 GN=SNRPB PE=1 SV=2,sp|P14678|RSMB_HUMAN,25 kDa,266224000,260916800,244361600,226879800,264088300,153651800,325075900,294710500,291019800,123687100,507325800,333328900,290480300,259583500,179322400,291306200,442496900
P14735,sp|P14735|IDE_HUMAN Insulin-degrading enzyme OS=Homo sapiens OX=9606 GN=IDE PE=1 SV=4,sp|P14735|IDE_HUMAN,118 kDa,1408952,3907753,2888541,1821431,1019529,2893474,1682219,3220757,916364,2593351,3112379,3357000,1671206,2497189,177582,1019692,2697599
P14780,sp|P14780|MMP9_HUMAN Matrix metalloprotei0se-9 OS=Homo sapiens OX=9606 GN=MMP9 PE=1 SV=3,sp|P14780|MMP9_HUMAN,78 kDa,48672700,50810570,39897790,25175890,177524400,14345930,67370050,61886710,11317400,16994280,33141550,7074507,11660700,43070140,53138120,19971240,98031130
P14854,sp|P14854|CX6B1_HUMAN Cytochrome c oxidase subunit 6B1 OS=Homo sapiens OX=9606 GN=COX6B1 PE=1 SV=2,sp|P14854|CX6B1_HUMAN,10 kDa,89296070,79213630,80309260,104793200,59009660,26228860,51192140,108017900,81961880,87150230,86748410,117146800,74850900,60600460,35476990,32700800,106592600
P14866,sp|P14866|HNRPL_HUMAN Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2,sp|P14866|HNRPL_HUMAN,64 kDa,207446000,206354700,192902700,239097700,196693400,128897900,148527300,157464800,227733900,122329200,539924700,253460700,222740600,231120400,92648290,231048300,282198000
P14868,"sp|P14868|SYDC_HUMAN Aspartate--tR0 ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2",sp|P14868|SYDC_HUMAN,57 kDa,1045719000,1039804000,980529800,736528200,1093355000,1879796000,813067700,1031845000,1246693000,627916800,1721687000,1342450000,749927100,853779900,437912100,702045000,1239797000
P14923,sp|P14923|PLAK_HUMAN Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3,sp|P14923|PLAK_HUMAN,82 kDa,8498808,10743640,7603347,2830628,3449843,2613603,4411493,26600870,3161302,16263090,4612285,2403951,66368480,3010097,2060888,4913840,9817837
P14927,sp|P14927|QCR7_HUMAN Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=2,sp|P14927|QCR7_HUMAN,14 kDa,190565200,196253800,198281100,141490200,97826620,561003100,111146000,205287600,219490800,221593600,430269400,183928700,148463400,142895900,43434810,123931700,222975500
P15090,"sp|P15090|FABP4_HUMAN Fatty acid-binding protein, adipocyte OS=Homo sapiens OX=9606 GN=FABP4 PE=1 SV=3",sp|P15090|FABP4_HUMAN,15 kDa,273460400,288883600,268454200,52657510,1797880,88961980,1363056000,697894900,65820010,27521980,11625100,749851400,151723600,40462200,947815200,132733400,29357470
P15104,sp|P15104|GL0_HUMAN Glutamine synthetase OS=Homo sapiens OX=9606 GN=GLUL PE=1 SV=4,sp|P15104|GL0_HUMAN,42 kDa,56138140,49255460,52329160,43645340,26714580,120396300,101432900,35156700,45285740,269461200,78079860,19358300,40728470,30839490,23025460,29523420,38037470
P15121,sp|P15121|ALDR_HUMAN Aldo-keto reductase family 1 member B1 OS=Homo sapiens OX=9606 GN=AKR1B1 PE=1 SV=3,sp|P15121|ALDR_HUMAN,36 kDa,633599800,684484100,685033000,868893900,397335500,753893200,224152700,840066300,1175896000,236385600,741777400,519861900,200549800,1121509000,474248900,425591600,852298200
P15144,sp|P15144|AMPN_HUMAN Aminopeptidase N OS=Homo sapiens OX=9606 GN=ANPEP PE=1 SV=4,sp|P15144|AMPN_HUMAN,110 kDa,34075860,52386190,42701120,44410990,187262300,23821330,56970060,48355760,30079260,83672570,14689370,20882580,41226750,58769070,50091850,21301870,32975710
P15153,sp|P15153|RAC2_HUMAN Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens OX=9606 GN=RAC2 PE=1 SV=1,sp|P15153|RAC2_HUMAN,21 kDa,24088130,25888470,19355960,25300940,56141530,7730294,17618820,14760590,20669710,14930770,1700003,4914623,6268305,46305620,4527610,28000600,2236330
P15311,sp|P15311|EZRI_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4,sp|P15311|EZRI_HUMAN,69 kDa,266632900,269122900,271310700,367407800,146447100,111209700,151388800,366364500,325956600,184108900,383843400,182461500,347699000,417122000,184449200,250031100,332375000
P15374,sp|P15374|UCHL3_HUMAN Ubiquitin carboxyl-termi0l hydrolase isozyme L3 OS=Homo sapiens OX=9606 GN=UCHL3 PE=1 SV=1,sp|P15374|UCHL3_HUMAN,26 kDa,83861660,81341410,86964220,101383200,61038450,149269900,41555820,92995410,107858200,80745410,41677040,82664000,56344510,65309980,31041440,85099940,96378610
P15428,sp|P15428|PGDH_HUMAN 15-hydroxyprostaglandin dehydroge0se [0D(+)] OS=Homo sapiens OX=9606 GN=HPGD PE=1 SV=1,sp|P15428|PGDH_HUMAN,29 kDa,36900670,36307600,20897050,22664780,13521380,290741300,28881540,22279460,41989000,56484250,45416250,21425580,30516770,13124430,10212870,19728370,20594340
P15502,sp|P15502|ELN_HUMAN Elastin OS=Homo sapiens OX=9606 GN=ELN PE=1 SV=4,sp|P15502|ELN_HUMAN,68 kDa,5359062,4072395,2551878,373089,0,231681,959858,1295140,50793450,3994657,658707,6173198,16845500,154379,7292083,56550030,1331733
P15531,sp|P15531|NDKA_HUMAN Nucleoside diphosphate ki0se A OS=Homo sapiens OX=9606 GN=NME1 PE=1 SV=1,sp|P15531|NDKA_HUMAN,17 kDa,20534080,17934050,19832330,15318150,10193970,23410230,5901264,41591240,26332240,7000107,42624160,32417700,34242910,15980270,4429816,11234710,50226450
P15559,sp|P15559|NQO1_HUMAN 0D(P)H dehydroge0se [quinone] 1 OS=Homo sapiens OX=9606 GN=NQO1 PE=1 SV=1,sp|P15559|NQO1_HUMAN,31 kDa,39312490,39879920,36268670,2343837,17547450,56227400,83053920,67216450,19526270,3392572,412039400,62049180,24745330,2995067,5302377,14822100,57686670
